variable	mean	sd	2.5%	25%	50%	75%	97.5%
sigma2[42]	0.52514810225	0.2773999666812235	0.19194212500000002	0.338025	0.458774	0.6348794999999999	1.21496475
sigma2[43]	0.2862051972	0.13075960978865508	0.1219176	0.19774150000000001	0.2565365	0.346287	0.6090713000000001
sigma2[44]	0.694955628	0.35132626040735415	0.25072802499999997	0.449968	0.6176575	0.8559249999999999	1.5964767500000003
sigma2[45]	0.44764905647500003	0.23851841201774976	0.169699875	0.2874625	0.3923535	0.53843825	1.0614715000000001
sigma2[46]	0.384628248	0.19378552101738	0.148960175	0.250324	0.33701000000000003	0.47000224999999995	0.895044200000001
sigma2[47]	0.282846164775	0.12741190534625538	0.1216313	0.1963695	0.2536445	0.33763175	0.6193777250000001
sigma2[48]	0.278426073475	0.12130840790033252	0.122640975	0.19466875	0.253702	0.3357075	0.576709
sigma2[49]	0.3003019243	0.13325838045477795	0.129853575	0.20804325	0.272408	0.3585265	0.6431038000000001
sigma2[50]	0.3632632904	0.1730287451211007	0.145601475	0.24476025	0.3259655	0.44080125000000003	0.81118235
sigma2[51]	0.35525693395	0.16073051494248547	0.14800790000000003	0.24311924999999998	0.31845	0.43108225	0.763992775
sigma2[52]	1.2411726475	0.5497470784015605	0.520529825	0.8651925	1.13532	1.485195	2.663609000000001
sigma2[53]	0.407347930025	0.1990723432378303	0.1622362	0.27248875000000006	0.365781	0.48869775	0.9154570750000001
sigma2[54]	0.305670467725	0.13585201422380064	0.12708832500000003	0.21069349999999998	0.27706	0.36937675000000003	0.6409790250000003
sigma2[55]	0.45207492475	0.2387749385462187	0.16346907500000002	0.29156024999999997	0.3998355	0.55111875	1.04072475
sigma2[56]	0.8331908165	0.3851735102133011	0.30772075000000004	0.5618595	0.7625595000000001	1.0278875	1.7929860000000004
sigma2[57]	0.441518729275	0.24320924602936428	0.16013137500000002	0.28054	0.3806625	0.5347040000000001	1.0562405000000004
sigma2[58]	0.377416197175	0.1905114876930618	0.144194475	0.24456725	0.3329255	0.4567265	0.8530621500000002
sigma2[59]	0.836892507225	0.5111907797552717	0.2480349	0.49729725	0.70873	1.035045	2.1857085000000005
sigma2[60]	0.80896963	0.47421703458852804	0.25467799999999996	0.4782435	0.690635	1.0074	2.0301932500000004
sigma2[61]	0.61665874525	0.40300133810921235	0.198201375	0.36229174999999997	0.5092019999999999	0.740626	1.71046325
sigma2[62]	0.615298075	0.35347270011264326	0.201716675	0.37215149999999997	0.525982	0.763162	1.4904335000000013
sigma2[63]	1.64261266425	0.6918345604392827	0.702051525	1.15635	1.5109650000000001	1.9848824999999999	3.3554952499999997
sigma2[64]	0.83754557275	0.4262130155052387	0.285070975	0.542726	0.743822	1.0297525	1.9294290000000007
sigma2[65]	0.552368721	0.336113402647481	0.1862046	0.3284745	0.460546	0.6842632500000001	1.4279917500000003
sigma2[66]	0.8817282235	0.6244518051075785	0.233980825	0.48183075	0.717507	1.0905874999999998	2.50039225
sigma2[67]	0.8469069782499999	0.5791279140413907	0.23096497500000002	0.47039274999999997	0.6966635	1.0384975	2.333994
sigma2[68]	0.813381922475	0.6291549781050011	0.214151925	0.42874075	0.64021	0.97962825	2.44354525
sigma2[69]	1.53562826475	1.1108045465529561	0.37991655	0.84332825	1.2532	1.9250475	4.27319075
sigma2[70]	0.5975474724000001	0.39265271880776365	0.178352125	0.336675	0.4955545	0.734282	1.6140922500000003
sigma2[71]	2.02562271725	1.2673730972382615	0.5975837500000001	1.2034625	1.706705	2.458755	5.34384975
sigma2[72]	1.2804973145	0.8245924877500165	0.38209192500000005	0.741949	1.08325	1.5696775	3.482248500000001
sigma2[73]	1.08102274925	0.5901084333957807	0.35063955	0.670559	0.952774	1.3311250000000001	2.528956
sigma2[74]	2.06753058825	1.1388948949452664	0.702838025	1.2872	1.797475	2.5412925	5.044770499999999
sigma2[75]	1.0784893405	0.8530472439580137	0.249251075	0.54589125	0.8492665	1.31504	3.343515500000001
sigma2[76]	2.400454671	1.5093607306985388	0.70870425	1.430495	2.0247200000000003	2.9241525000000004	6.444798000000003
sigma2[77]	1.07092282125	0.8096592321268331	0.26685885	0.556545	0.8593145	1.320785	3.194562500000002
sigma2[78]	0.76309213875	0.4935207812526929	0.22001087500000002	0.43008725000000003	0.629581	0.95094875	2.09482225
sigma2[79]	1.00602226	0.546473768459074	0.3269743	0.62524975	0.8800315000000001	1.2510424999999998	2.4293375000000004
sigma2[80]	0.4286457126	0.2216658217583593	0.163425975	0.27650175	0.374404	0.52313	0.9737805500000001
sigma2[81]	0.611678792	0.3137961156634362	0.210494	0.39310775000000003	0.5456405	0.7508232499999999	1.3910360000000004
sigma2[82]	0.7638690715	0.41667313710681314	0.259667525	0.47462250000000006	0.671837	0.93023875	1.8477755000000002
sigma2[83]	0.42219172125	0.20822504927237287	0.162043575	0.2764835	0.379313	0.5116195	0.93396575
sigma2[84]	0.357662006675	0.15390277349707523	0.1558232	0.24884825	0.322913	0.43328225	0.7457347250000007
sigma2[85]	0.324857930875	0.14746149011282922	0.13493370000000002	0.22030500000000003	0.291975	0.39263824999999997	0.6938907000000001
sigma2[86]	0.290961485375	0.12917831574775965	0.12803845	0.20178374999999998	0.2648735	0.347746	0.6111030000000001
sigma2[87]	0.3270802932	0.14450131666270383	0.135673775	0.22528625	0.295863	0.396527	0.6873150000000001
sigma2[88]	0.33190281829999996	0.1557527498700462	0.136217425	0.22089075000000002	0.297011	0.40057624999999997	0.73484035
sigma2[89]	0.665945188	0.3142365126569328	0.258401875	0.44659324999999994	0.594686	0.809705	1.4746732500000006
sigma2[90]	0.39363325034999996	0.20759428307065447	0.15530667500000003	0.25652375	0.347003	0.47671525000000003	0.8930686750000002
sigma2[91]	0.4466476055	0.19733531242771934	0.183766475	0.30569225	0.4077465	0.5399090000000001	0.9511641500000003
sigma2[92]	0.437254781725	0.20567153521322498	0.16957205	0.29189825	0.39205049999999997	0.5333012500000001	0.9574056000000001
sigma2[93]	0.306166965375	0.13316670899174385	0.13013987500000002	0.213812	0.277956	0.3658225	0.644532725
sigma2[94]	0.31095329585000003	0.14464206305158492	0.12885902500000002	0.211932	0.2811035	0.3759865	0.6784733250000001
sigma2[95]	0.265149458775	0.1144741582284321	0.11453274999999999	0.18440649999999997	0.2441235	0.31708074999999997	0.55598145
sigma2[96]	0.34371143815	0.15859611444597	0.1443242	0.23494199999999998	0.3076765	0.41193125	0.7439433000000004
sigma2[97]	0.32110247715	0.15207196352068733	0.13150245	0.21721775	0.28763150000000004	0.38465625000000003	0.699002325
sigma2[98]	0.2579491282	0.11266349520120754	0.113249625	0.18109250000000002	0.2360155	0.30767525000000007	0.5300526
sigma2[99]	0.352892407625	0.18117757291350645	0.13919525000000002	0.23153925	0.31122099999999997	0.42397	0.8185919250000003
sigma2[100]	0.2711662747	0.12028081828831366	0.11958095	0.18703275000000003	0.243969	0.32481775	0.57915245
sigma2[101]	0.249585870075	0.10435769887239145	0.1168679	0.17730875	0.2270065	0.29489175	0.509132125
sigma2[102]	0.365370684325	0.1611369982607273	0.154220075	0.2513715	0.33275	0.438999	0.7747734250000002
sigma2[103]	0.25112046225	0.1055209306761494	0.115678475	0.17708625	0.22728500000000001	0.29829975	0.5225952750000001
sigma2[104]	0.39940805875	0.18935316322881937	0.15512535	0.26645625	0.35890299999999997	0.4873575	0.8978726000000004
